;fecha_ingreso;id_credito;tipo_credito;monto_credito;cuota;saldo;numero_cuota;fecha_vencimiento;fecha_pago;importe_pagado;gastos;saldo.1;cuota.1;sucursal;codigo_comercio;codigo_cliente;codigo_direccion;localidad;codigo_postal;tipo_propiedad;telefono;nacionalidad;edad;sexo;estado_civil;cantidad_hijos;codigo_empresa;seccion;antiguedad_empleo;rubro_comercio
0;2017-01-02;1981_2;V3;990.0;439.0;0.0;3;2017-04-10;2017-03-07;439.0;0.0;0.0;;1;8.0;0;0;1;1625.0;alquilada;1;ARGENTINA;56;F;SOLTERA;0;4706;DOMESTICA;34;CALZADOS UNISEX
1;2017-01-02;1981_2;V3;990.0;439.0;878.0;1;2017-02-10;2017-01-06;439.0;0.0;0.0;;1;8.0;0;0;1;1625.0;alquilada;1;ARGENTINA;56;F;SOLTERA;0;4706;DOMESTICA;34;CALZADOS UNISEX
2;2017-01-02;1981_2;V3;990.0;439.0;439.0;2;2017-03-10;2017-02-08;439.0;0.0;0.0;;1;8.0;0;0;1;1625.0;alquilada;1;ARGENTINA;56;F;SOLTERA;0;4706;DOMESTICA;34;CALZADOS UNISEX
3;2014-10-20;888_2;V3;694.0;300.7;300.7;2;2014-12-10;2014-12-15;300.7;7.52;0.0;;1;17.0;1;1;1;1625.0;alquilada;1;ARGENTINA ;49;F;VIUDA ;2;4665;MAESTRANZA ;79;ROPA/INDUMENTARIA
4;2014-10-20;888_2;V3;694.0;300.7;0.0;3;2015-01-10;2015-01-10;300.7;0.0;0.0;;1;17.0;1;1;1;1625.0;alquilada;1;ARGENTINA ;49;F;VIUDA ;2;4665;MAESTRANZA ;79;ROPA/INDUMENTARIA
5;2014-10-20;888_2;V3;694.0;300.7;601.4;1;2014-11-10;2014-11-18;300.7;0.0;0.0;;1;17.0;1;1;1;1625.0;alquilada;1;ARGENTINA ;49;F;VIUDA ;2;4665;MAESTRANZA ;79;ROPA/INDUMENTARIA
6;2013-10-04;53_2;V8;1188.0;255.4;1787.8;1;2013-11-10;2013-12-14;255.4;43.42;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
7;2013-10-07;57_2;V2;490.0;289.1;289.1;1;2013-11-10;2013-12-14;289.1;49.15;0.0;;1;8.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;CALZADOS UNISEX
8;2013-10-04;53_2;V8;1188.0;255.4;1532.4;2;2013-12-10;2013-12-14;255.4;5.11;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
9;2013-10-07;57_2;V2;490.0;289.1;0.0;2;2013-12-10;2013-12-14;289.1;5.78;0.0;;1;8.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;CALZADOS UNISEX
10;2013-10-04;53_2;V8;1188.0;255.4;1277.0;3;2014-01-10;2014-01-03;255.4;0.0;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
11;2013-10-04;53_2;V8;1188.0;255.4;1021.6;4;2014-02-10;2014-03-10;255.4;35.76;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
12;2013-12-30;205_2;V3;729.0;308.6;617.2;1;2014-02-10;2014-03-10;308.6;43.2;0.0;;1;475.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;JUGUETERIA
13;2013-10-04;53_2;V8;1188.0;255.4;766.2;5;2014-03-10;2014-04-11;255.4;40.86;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
14;2013-12-30;205_2;V3;729.0;308.6;0.0;3;2014-04-10;2014-05-19;308.6;60.18;0.0;;1;475.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;JUGUETERIA
15;2013-12-30;205_2;V3;729.0;308.6;308.6;2;2014-03-10;2014-05-12;308.6;97.21;0.0;;1;475.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;JUGUETERIA
16;2013-10-04;53_2;V8;1188.0;255.4;661.58;6;2014-04-10;2014-09-04;104.62;195.38;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
17;2013-10-04;53_2;V8;1188.0;255.4;0.0;20;2014-09-04;2014-09-04;0.0;0.0;0.0;;1;27.0;2;2;3;1625.0;alquilada;1;ARGENTINA;53;F;CASADA;1;16;;249;ROPA DE BEBE
18;2014-02-12;305_2;V6;1500.0;400.0;2000.0;1;2014-03-10;2014-03-12;400.0;0.0;0.0;;1;166.0;3;3;8;1631.0;alquilada;1;ARGENTINO;38;M;CASADO;2;2142;;85;CORRALON
19;2014-02-12;305_2;V6;1500.0;400.0;1200.0;3;2014-05-10;2014-05-09;400.0;0.0;0.0;;1;166.0;3;3;8;1631.0;alquilada;1;ARGENTINO;38;M;CASADO;2;2142;;85;CORRALON
20;2014-02-12;305_2;V6;1500.0;400.0;1600.0;2;2014-04-10;2014-04-08;400.0;0.0;0.0;;1;166.0;3;3;8;1631.0;alquilada;1;ARGENTINO;38;M;CASADO;2;2142;;85;CORRALON
21;2014-02-12;305_2;V6;1500.0;400.0;800.0;4;2014-06-10;2014-06-07;400.0;0.0;0.0;;1;166.0;3;3;8;1631.0;alquilada;1;ARGENTINO;38;M;CASADO;2;2142;;85;CORRALON
22;2014-02-12;305_2;V6;1500.0;400.0;400.0;5;2014-07-10;2014-07-08;400.0;0.0;0.0;;1;166.0;3;3;8;1631.0;alquilada;1;ARGENTINO;38;M;CASADO;2;2142;;85;CORRALON
23;2014-02-12;305_2;V6;1500.0;400.0;0.0;6;2014-08-10;2014-08-09;400.0;0.0;0.0;;1;166.0;3;3;8;1631.0;alquilada;1;ARGENTINO;38;M;CASADO;2;2142;;85;CORRALON
24;2016-08-12;1652_2;V3;1900.0;861.0;1722.0;1;2016-09-10;2016-09-05;861.0;0.0;0.0;;1;8.0;4;4;58;1625.0;alquilada;1;ARGENTINA;41;F;CASADA;0;3970;OPERARIO;33;CALZADOS UNISEX
25;2016-08-12;1652_2;V3;1900.0;861.0;861.0;2;2016-10-10;2016-10-06;861.0;0.0;0.0;;1;8.0;4;4;58;1625.0;alquilada;1;ARGENTINA;41;F;CASADA;0;3970;OPERARIO;33;CALZADOS UNISEX
26;2016-08-12;1652_2;V3;1900.0;861.0;0.0;3;2016-11-10;2016-11-07;861.0;0.0;0.0;;1;8.0;4;4;58;1625.0;alquilada;1;ARGENTINA;41;F;CASADA;0;3970;OPERARIO;33;CALZADOS UNISEX
27;2016-12-13;1904_2;V3;1580.0;717.0;0.0;3;2017-03-10;2017-03-06;717.0;0.0;0.0;;1;8.0;4;4;58;1625.0;alquilada;1;ARGENTINA;41;F;CASADA;0;3970;OPERARIO;33;CALZADOS UNISEX
